
1,1,100.0,100.0,26/12/2024
2,1,100.0,100.0,25/12/2024
3,1,200.0,300.0,25/10/2024
4,1,1000.0,1300.0,25/11/2024
5,1,100.0,1400.0,25/11/2024
6,1,500.0,1900.0,25/10/2024
7,1,120.0,2020.0,25/12/2024
8,1,200.0,2220.0,12/12/2024
9,1,100.0,2320.0,25/12/2024
10,1,100.0,2420.0,26/12/2024
11,1,100.0,2520.0,26/12/2024
12,1,100.0,2620.0,26/12/2024
13,1,1000.0,3620.0,29/12/2024
14,1,50.0,3670.0,30/12/2024
15,2,100.0,100.0,26/12/2024
16,2,100.0,100.0,25/12/2024
17,2,200.0,300.0,25/07/2024
18,2,1000.0,1300.0,25/07/2024
19,2,100.0,1400.0,25/07/2024
20,2,500.0,1900.0,25/10/2024
21,2,120.0,2020.0,25/12/2024
22,2,200.0,2220.0,12/12/2024
23,2,100.0,2320.0,25/12/2024
24,2,100.0,2420.0,26/12/2024
25,2,100.0,2520.0,26/12/2024
26,2,100.0,2620.0,26/12/2024
27,2,1000.0,3620.0,29/12/2024
28,2,50.0,3670.0,01/01/2025
